本科以上,本科以下,Sector,Total demands,Unlimited,month,total_monthes
6,15,Insurance,330,13,11,15
4,20,Production/operation,116,10,11,15
3,18,QMS/safety/environmental protection,67,4,11,15
0,44,Technical work,951,74,11,15
1,5,Procurement,13,0,11,15
3,7,Trade,82,0,11,15
6,6,Biology/chemicals/pharmaceuticals/medical equipment,121,42,11,15
0,3,Advertising,3,0,11,15
0,2,PRs and news media,4,0,11,15
1,7,"Movies, TV and recreation",61,0,11,15
0,13,Literature/screenwriting/writing,39,0,11,15
0,18,Real property,157,8,11,15
0,13,Property management,239,19,11,15
0,32,Restaurants & recreation,757,83,11,15
0,7,Hotels/tourism,28,3,11,15
0,1,Beauty and personal care,104,8,11,15
0,10,General merchandise/chains/retail,220,7,11,15
0,3,Security/housekeeping/other,116,25,11,15
4,17,Graduates,311,14,11,15
8,67,Other,241,27,11,15
2,32,,576,44,12,16
2,9,Computer software,47,1,12,16
4,67,Sales management,521,23,12,16
4,55,market/marketing,843,49,12,16
0,119,Sales,2023,73,12,16
0,1,Computer hardware,4,0,12,16
7,10,Internet development and application,142,22,12,16
0,4,"IT-QM, technical support and more",5,0,12,16
0,13,Communications technology,30,0,12,16
2,14,Electronics/appliances/semiconductor/instrumentation,192,0,12,16
9,48,Finance/auditing/tax,120,18,12,16
8,25,Engineering/machinery/energy,300,23,12,16
6,40,HR,125,3,12,16
2,1,Senior management,9,6,12,16
2,26,Logistics/warehousing,167,16,12,16
0,30,Art/graphics/Animation design,169,13,12,16
1,1,Science & Technology,3,0,12,16
2,0,Legal profession/law,2,0,12,16
3,1,Education,19,0,12,16
2,1,Hospital/medical/care,12,0,12,16
0,1,Counsel/consulting,9,1,12,16
0,2,Transportation service,29,9,12,16
4,20,Construction/infrastructure/gardening,199,1,12,16
1,46,Office administration/logistics,356,42,12,16
0,25,Customer service and technical support,170,8,12,16
0,5,Securities/finance/investment,126,0,12,16
0,30,Production/operation,142,5,12,16
3,11,QMS/safety/environmental protection,79,11,12,16
0,32,Technical work,744,68,12,16
0,0,Fashion/textile/furs,5,1,12,16
0,2,Procurement,3,0,12,16
8,0,Biology/chemicals/pharmaceuticals/medical equipment,69,24,12,16
2,1,Advertising,4,0,12,16
0,3,PRs and news media,21,0,12,16
0,12,Literature/screenwriting/writing,38,2,12,16
0,11,Real property,152,0,12,16
0,2,Property management,26,7,12,16
0,1,Restaurants & recreation,429,62,12,16
0,6,Hotels/tourism,26,1,12,16
0,3,Beauty and personal care,24,0,12,16
0,16,General merchandise/chains/retail,415,15,12,16
0,0,Security/housekeeping/other,40,16,12,16
1,10,Graduates,188,2,12,16
11,62,Other,553,29,12,16
2,6,,60,8,1,17
5,0,Computer software,15,0,1,17
2,11,Sales management,78,0,1,17
0,5,market/marketing,31,2,1,17
0,2,Sales,180,12,1,17
0,2,Internet development and application,4,0,1,17
0,4,"IT-QM, technical support and more",10,0,1,17
3,6,Electronics/appliances/semiconductor/instrumentation,127,0,1,17
4,6,Finance/auditing/tax,26,1,1,17
5,15,Engineering/machinery/energy,131,2,1,17
0,0,HR,2,2,1,17
2,0,Senior management,4,2,1,17
0,3,Logistics/warehousing,5,0,1,17
0,0,Art/graphics/Animation design,6,2,1,17
2,0,Science & Technology,4,0,1,17
1,0,Legal profession/law,3,1,1,17
1,0,Education,6,0,1,17
0,0,Hospital/medical/care,10,2,1,17
0,0,Counsel/consulting,1,1,1,17
0,1,Transportation service,7,3,1,17
2,0,Translation,2,0,1,17
0,3,Construction/infrastructure/gardening,4,0,1,17
1,3,Office administration/logistics,32,6,1,17
0,2,Production/operation,4,0,1,17
0,2,QMS/safety/environmental protection,2,0,1,17
0,8,Technical work,110,7,1,17
0,1,Property management,9,3,1,17
0,1,Restaurants & recreation,134,17,1,17
0,2,Hotels/tourism,4,0,1,17
0,2,Beauty and personal care,40,0,1,17
0,0,Security/housekeeping/other,16,6,1,17
0,2,Graduates,15,0,1,17
1,11,Other,63,4,1,17
6,316,,3925,179,2,18
42,76,Computer software,701,7,2,18
54,864,Sales management,12741,437,2,18
66,771,market/marketing,10462,324,2,18
10,941,Sales,19672,591,2,18
2,6,Computer hardware,48,7,2,18
4,94,Internet development and application,567,53,2,18
1,26,IT-Management,61,8,2,18
25,51,"IT-QM, technical support and more",292,12,2,18
0,29,Communications technology,213,1,2,18
22,92,Electronics/appliances/semiconductor/instrumentation,2155,22,2,18
58,527,Finance/auditing/tax,1336,202,2,18
69,180,Engineering/machinery/energy,1160,71,2,18
63,326,HR,1498,113,2,18
15,44,Senior management,188,28,2,18
8,241,Logistics/warehousing,1309,178,2,18
48,211,Art/graphics/Animation design,1104,86,2,18
13,0,Science & Technology,43,1,2,18
2,4,Legal profession/law,21,6,2,18
140,70,Education,1369,23,2,18
6,78,Hospital/medical/care,2560,78,2,18
15,100,Counsel/consulting,1543,42,2,18
0,67,Transportation service,519,95,2,18
11,20,Translation,37,1,2,18
20,216,Construction/infrastructure/gardening,1751,124,2,18
0,4,Banking,24,0,2,18
44,803,Office administration/logistics,3505,387,2,18
7,375,Customer service and technical support,3334,129,2,18
2,61,Securities/finance/investment,1186,15,2,18
8,19,Insurance,508,12,2,18
12,155,Production/operation,2113,117,2,18
12,59,QMS/safety/environmental protection,183,7,2,18
2,157,Technical work,4348,349,2,18
2,0,Fashion/textile/furs,8,2,2,18
0,102,Procurement,474,29,2,18
11,41,Trade,277,8,2,18
13,16,Biology/chemicals/pharmaceuticals/medical equipment,269,50,2,18
13,19,Advertising,71,5,2,18
0,19,PRs and news media,88,1,2,18
0,19,"Movies, TV and recreation",42,9,2,18
14,35,Literature/screenwriting/writing,125,8,2,18
5,51,Real property,2319,101,2,18
4,52,Property management,452,57,2,18
0,83,Restaurants & recreation,2166,235,2,18
0,60,Hotels/tourism,341,51,2,18
0,100,Beauty and personal care,2193,58,2,18
1,145,General merchandise/chains/retail,1879,71,2,18
0,0,Security/housekeeping/other,400,89,2,18
18,57,Graduates,930,33,2,18
56,375,Other,2956,258,2,18
0,248,,2840,132,3,19
16,23,Computer software,229,2,3,19
41,473,Sales management,4444,198,3,19
13,417,market/marketing,4139,133,3,19
10,528,Sales,9293,341,3,19
5,12,Computer hardware,42,1,3,19
1,20,Internet development and application,320,44,3,19
0,12,IT-Management,36,4,3,19
22,44,"IT-QM, technical support and more",234,17,3,19
0,30,Communications technology,208,3,3,19
23,77,Electronics/appliances/semiconductor/instrumentation,622,9,3,19
36,259,Finance/auditing/tax,824,103,3,19
34,83,Engineering/machinery/energy,597,44,3,19
16,261,HR,1102,59,3,19
8,29,Senior management,134,8,3,19
4,131,Logistics/warehousing,677,76,3,19
17,110,Art/graphics/Animation design,635,52,3,19
5,3,Science & Technology,33,0,3,19
0,2,Legal profession/law,24,10,3,19
29,26,Education,196,6,3,19
1,22,Hospital/medical/care,198,18,3,19
7,46,Counsel/consulting,845,26,3,19
0,24,Transportation service,164,39,3,19
4,8,Translation,15,0,3,19
14,152,Construction/infrastructure/gardening,1037,55,3,19
0,2,Banking,12,0,3,19
20,411,Office administration/logistics,1971,217,3,19
2,229,Customer service and technical support,2095,90,3,19
0,27,Securities/finance/investment,578,6,3,19
2,33,Insurance,553,10,3,19
6,101,Production/operation,1115,54,3,19
7,31,QMS/safety/environmental protection,126,11,3,19
2,94,Technical work,1861,134,3,19
2,53,Procurement,236,28,3,19
8,25,Trade,167,3,3,19
5,16,Biology/chemicals/pharmaceuticals/medical equipment,123,5,3,19
3,7,Advertising,30,4,3,19
0,18,PRs and news media,172,3,3,19
0,8,"Movies, TV and recreation",34,5,3,19
5,34,Literature/screenwriting/writing,104,9,3,19
5,45,Real property,2188,59,3,19
0,22,Property management,256,36,3,19
0,49,Restaurants & recreation,987,109,3,19
0,26,Hotels/tourism,163,29,3,19
0,20,Beauty and personal care,471,31,3,19
0,59,General merchandise/chains/retail,428,14,3,19
0,3,Security/housekeeping/other,155,39,3,19
9,45,Graduates,660,23,3,19
20,246,Other,1438,99,3,19
0,169,,3871,41,4,20
10,9,Computer software,46,0,4,20
16,219,Sales management,2693,96,4,20
6,157,market/marketing,1859,89,4,20
1,262,Sales,4783,171,4,20
2,7,Computer hardware,16,0,4,20
2,26,Internet development and application,96,5,4,20
0,4,IT-Management,8,0,4,20
1,14,"IT-QM, technical support and more",133,28,4,20
1,1,Communications technology,29,2,4,20
4,20,Electronics/appliances/semiconductor/instrumentation,158,0,4,20
8,110,Finance/auditing/tax,343,51,4,20
48,25,Engineering/machinery/energy,285,33,4,20
6,126,HR,512,16,4,20
2,11,Senior management,22,0,4,20
0,45,Logistics/warehousing,305,32,4,20
1,44,Art/graphics/Animation design,210,23,4,20
2,0,Science & Technology,2,0,4,20
0,1,Legal profession/law,16,7,4,20
31,15,Education,417,3,4,20
0,2,Hospital/medical/care,438,8,4,20
0,37,Counsel/consulting,588,8,4,20
0,14,Transportation service,113,17,4,20
3,0,Translation,6,0,4,20
14,89,Construction/infrastructure/gardening,443,28,4,20
16,181,Office administration/logistics,1082,77,4,20
2,117,Customer service and technical support,978,32,4,20
3,3,Securities/finance/investment,109,4,4,20
4,31,Insurance,399,7,4,20
4,27,Production/operation,226,10,4,20
1,15,QMS/safety/environmental protection,87,7,4,20
0,48,Technical work,902,34,4,20
0,3,Fashion/textile/furs,3,0,4,20
0,6,Procurement,14,2,4,20
5,6,Trade,135,2,4,20
6,6,Biology/chemicals/pharmaceuticals/medical equipment,49,0,4,20
0,5,Advertising,68,18,4,20
0,6,PRs and news media,38,0,4,20
0,0,"Movies, TV and recreation",3,2,4,20
1,6,Literature/screenwriting/writing,44,15,4,20
0,13,Real property,1095,25,4,20
1,9,Property management,132,12,4,20
0,14,Restaurants & recreation,412,53,4,20
0,31,Hotels/tourism,166,9,4,20
0,10,Beauty and personal care,145,7,4,20
2,25,General merchandise/chains/retail,147,8,4,20
0,5,Security/housekeeping/other,108,26,4,20
3,26,Graduates,264,3,4,20
17,93,Other,801,73,4,20
1,99,,1216,38,5,21
2,2,Computer software,13,0,5,21
13,137,Sales management,1182,93,5,21
6,124,market/marketing,1326,78,5,21
7,199,Sales,3337,145,5,21
0,2,Computer hardware,6,1,5,21
0,23,Internet development and application,86,0,5,21
0,2,IT-Management,8,2,5,21
6,5,"IT-QM, technical support and more",143,35,5,21
0,2,Communications technology,2,0,5,21
4,24,Electronics/appliances/semiconductor/instrumentation,166,7,5,21
19,126,Finance/auditing/tax,428,60,5,21
24,40,Engineering/machinery/energy,317,24,5,21
8,99,HR,326,16,5,21
5,4,Senior management,31,7,5,21
0,61,Logistics/warehousing,422,64,5,21
0,36,Art/graphics/Animation design,204,20,5,21
0,1,Science & Technology,2,0,5,21
0,2,Legal profession/law,21,7,5,21
14,19,Education,138,2,5,21
0,2,Hospital/medical/care,27,5,5,21
0,26,Counsel/consulting,377,6,5,21
0,12,Transportation service,131,23,5,21
1,0,Translation,1,0,5,21
10,126,Construction/infrastructure/gardening,772,39,5,21
0,1,Banking,10,0,5,21
8,143,Office administration/logistics,610,70,5,21
0,83,Customer service and technical support,1059,38,5,21
0,7,Securities/finance/investment,47,0,5,21
0,10,Insurance,77,2,5,21
0,18,Production/operation,164,25,5,21
0,24,QMS/safety/environmental protection,99,8,5,21
0,54,Technical work,660,77,5,21
0,10,Procurement,22,2,5,21
3,8,Trade,43,6,5,21
4,13,Biology/chemicals/pharmaceuticals/medical equipment,248,4,5,21
0,1,Advertising,68,17,5,21
0,1,PRs and news media,2,0,5,21
0,1,"Movies, TV and recreation",20,0,5,21
5,6,Literature/screenwriting/writing,50,16,5,21
0,15,Real property,793,24,5,21
0,11,Property management,73,9,5,21
0,19,Restaurants & recreation,620,71,5,21
0,40,Hotels/tourism,187,30,5,21
0,2,Beauty and personal care,40,0,5,21
0,17,General merchandise/chains/retail,166,10,5,21
0,8,Security/housekeeping/other,110,26,5,21
6,18,Graduates,334,1,5,21
7,72,Other,1051,61,5,21
1,168,,2432,56,6,22
6,5,Computer software,75,2,6,22
8,118,Sales management,1000,78,6,22
7,130,market/marketing,1440,60,6,22
6,140,Sales,2304,150,6,22
3,6,Computer hardware,37,2,6,22
6,10,Internet development and application,136,15,6,22
0,1,IT-Management,11,1,6,22
8,8,"IT-QM, technical support and more",106,7,6,22
0,13,Communications technology,30,0,6,22
7,24,Electronics/appliances/semiconductor/instrumentation,131,3,6,22
14,89,Finance/auditing/tax,263,37,6,22
12,34,Engineering/machinery/energy,228,12,6,22
16,90,HR,304,36,6,22
10,4,Senior management,31,2,6,22
0,78,Logistics/warehousing,295,30,6,22
0,50,Art/graphics/Animation design,222,19,6,22
0,1,Science & Technology,11,1,6,22
2,0,Legal profession/law,16,5,6,22
11,10,Education,142,4,6,22
3,2,Hospital/medical/care,32,1,6,22
8,162,,1692,48,9,25
4,6,Advertising,26,0,9,25
4,58,Art/graphics/Animation design,222,10,9,25
2,0,Communications technology,2,0,9,25
2,1,Computer hardware,10,0,9,25
1,2,Computer software,14,4,9,25
9,76,Construction/infrastructure/gardening,766,10,9,25
13,22,Counsel/consulting,426,3,9,25
2,88,Customer service and technical support,1054,24,9,25
20,8,Education,136,2,9,25
8,39,Electronics/appliances/semiconductor/instrumentation,301,2,9,25
21,90,Engineering/machinery/energy,574,19,9,25
19,110,Finance/auditing/tax,338,34,9,25
2,46,Graduates,740,12,9,25
7,84,HR,369,33,9,25
0,8,Hospital/medical/care,45,4,9,25
0,5,IT-Management,14,1,9,25
1,8,"IT-QM, technical support and more",21,0,9,25
4,2,Insurance,53,0,9,25
1,19,Internet development and application,56,6,9,25
0,0,Legal profession/law,8,4,9,25
2,2,Literature/screenwriting/writing,6,0,9,25
0,5,"Movies, TV and recreation",28,0,9,25
0,7,PRs and news media,46,0,9,25
1,13,Procurement,29,2,9,25
2,24,Property management,317,50,9,25
20,28,Real property,1367,22,9,25
0,4,Securities/finance/investment,36,1,9,25
3,10,Senior management,18,4,9,25
0,9,Trade,40,2,9,25
0,2,Translation,4,0,9,25
0,8,Banking,59,0,9,25
0,52,General merchandise/chains/retail,594,22,9,25
0,19,Hotels/tourism,117,14,9,25
21,33,QMS/safety/environmental protection,204,10,9,25
6,117,Sales management,1220,69,9,25
4,20,Biology/chemicals/pharmaceuticals/medical equipment,317,4,9,25
0,25,Restaurants & recreation,924,64,9,25
0,18,Security/housekeeping/other,581,31,9,25
0,18,Beauty and personal care,339,10,9,25
2,67,Logistics/warehousing,405,41,9,25
2,174,Sales,2243,79,9,25
8,120,market/marketing,1411,56,9,25
0,13,Transportation service,124,21,9,25
1,70,Technical work,1393,80,9,25
0,55,Production/operation,473,10,9,25
15,84,Other,1282,53,9,25
17,128,Office administration/logistics,620,59,9,25
2,2,Science & Technology,28,2,9,25
3,79,,851,42,10,26
0,7,Advertising,21,2,10,26
0,10,Banking,67,0,10,26
3,2,Communications technology,15,1,10,26
7,52,Customer service and technical support,589,13,10,26
5,0,Fashion/textile/furs,48,7,10,26
8,7,"IT-QM, technical support and more",118,3,10,26
3,23,Insurance,229,3,10,26
1,0,Literature/screenwriting/writing,3,1,10,26
3,8,"Movies, TV and recreation",42,0,10,26
0,1,PRs and news media,7,1,10,26
32,31,QMS/safety/environmental protection,310,8,10,26
2,4,Real property,390,6,10,26
20,95,Sales management,983,39,10,26
16,11,Trade,194,4,10,26
11,0,Translation,38,0,10,26
50,81,market/marketing,1175,34,10,26
0,14,Property management,212,32,10,26
2,19,General merchandise/chains/retail,337,22,10,26
0,13,Hotels/tourism,71,4,10,26
0,6,Security/housekeeping/other,132,5,10,26
0,6,Transportation service,129,18,10,26
37,130,Sales,2214,96,10,26
0,29,Restaurants & recreation,481,38,10,26
11,46,Logistics/warehousing,224,24,10,26
0,17,Beauty and personal care,260,0,10,26
0,44,Technical work,830,56,10,26
11,0,Computer hardware,50,1,10,26
45,109,Finance/auditing/tax,428,20,10,26
70,65,Graduates,2061,8,10,26
37,67,HR,275,16,10,26
2,1,IT-Management,12,0,10,26
9,2,Securities/finance/investment,65,2,10,26
2,4,Senior management,25,0,10,26
32,75,Construction/infrastructure/gardening,1161,40,10,26
12,29,Counsel/consulting,360,2,10,26
11,2,Legal profession/law,37,9,10,26
28,35,Production/operation,401,19,10,26
37,116,Office administration/logistics,446,41,10,26
7,15,Procurement,69,2,10,26
38,21,Computer software,421,3,10,26
16,52,Art/graphics/Animation design,287,12,10,26
105,59,Electronics/appliances/semiconductor/instrumentation,1480,17,10,26
0,33,,427,16,11,27
0,2,Advertising,4,0,11,27
0,34,Art/graphics/Animation design,143,12,11,27
0,9,Banking,266,0,11,27
2,1,Beauty and personal care,4,0,11,27
1,0,Computer hardware,4,1,11,27
2,27,Computer software,203,4,11,27
14,13,Counsel/consulting,102,3,11,27
0,61,Customer service and technical support,983,7,11,27
2,7,Education,99,0,11,27
20,32,Engineering/machinery/energy,366,12,11,27
0,2,Fashion/textile/furs,2,0,11,27
7,79,Finance/auditing/tax,237,12,11,27
5,8,Graduates,202,8,11,27
6,29,HR,153,15,11,27
0,6,Hospital/medical/care,74,0,11,27
2,2,IT-Management,6,1,11,27
0,5,"IT-QM, technical support and more",42,1,11,27
7,23,Insurance,237,0,11,27
0,9,Internet development and application,112,5,11,27
0,0,Legal profession/law,8,4,11,27
8,1,Literature/screenwriting/writing,15,0,11,27
0,6,"Movies, TV and recreation",46,0,11,27
0,3,PRs and news media,10,1,11,27
0,3,Procurement,8,0,11,27
3,9,Production/operation,194,13,11,27
2,20,QMS/safety/environmental protection,45,0,11,27
0,1,Real property,526,16,11,27
7,70,Sales management,614,37,11,27
2,0,Science & Technology,50,1,11,27
0,5,Securities/finance/investment,36,0,11,27
0,0,Security/housekeeping/other,310,19,11,27
6,4,Senior management,11,1,11,27
3,8,Trade,48,1,11,27
2,0,Translation,6,0,11,27
0,4,Transportation service,133,11,11,27
9,57,market/marketing,901,50,11,27
6,17,Electronics/appliances/semiconductor/instrumentation,200,7,11,27
0,14,General merchandise/chains/retail,329,2,11,27
2,14,Hotels/tourism,74,10,11,27
1,21,Logistics/warehousing,121,24,11,27
17,74,Office administration/logistics,321,37,11,27
0,9,Property management,170,29,11,27
2,131,Sales,1833,75,11,27
14,41,Construction/infrastructure/gardening,423,8,11,27
0,23,Restaurants & recreation,956,91,11,27
9,56,Other,731,29,11,27
0,39,Technical work,798,56,11,27
4,2,Biology/chemicals/pharmaceuticals/medical equipment,43,3,11,27
22,10,Internet development and application,188,10,10,26
163,89,Engineering/machinery/energy,1921,25,10,26
85,87,Other,1872,59,10,26
15,1,Science & Technology,249,1,10,26
55,17,Biology/chemicals/pharmaceuticals/medical equipment,392,1,10,26
39,6,Hospital/medical/care,241,1,10,26
132,16,Education,985,0,10,26
7,14,Advertising,97,12,3,31
10,212,Art/graphics/Animation design,751,43,3,31
2,20,Banking,287,2,3,31
2,7,Communications technology,75,0,3,31
4,14,Computer hardware,73,2,3,31
17,21,Computer software,178,8,3,31
49,28,Education,398,9,3,31
44,509,Finance/auditing/tax,1330,113,3,31
2,66,General merchandise/chains/retail,966,55,3,31
5,90,Graduates,1012,25,3,31
39,341,HR,1313,103,3,31
3,8,IT-Management,20,3,3,31
30,44,"IT-QM, technical support and more",169,6,3,31
33,84,Insurance,1514,9,3,31
6,77,Internet development and application,408,8,3,31
5,1,Legal profession/law,25,8,3,31
8,18,Literature/screenwriting/writing,66,4,3,31
2,25,"Movies, TV and recreation",67,5,3,31
1,2,PRs and news media,18,5,3,31
8,86,Procurement,227,17,3,31
4,35,Real property,3324,95,3,31
0,40,Securities/finance/investment,902,16,3,31
12,61,Trade,467,14,3,31
5,1,Translation,19,0,3,31
46,514,market/marketing,7460,272,3,31
7,414,,4924,146,3,31
1,109,Counsel/consulting,1448,39,3,31
2,32,Hospital/medical/care,240,17,3,31
52,698,Office administration/logistics,2456,195,3,31
57,646,Sales management,6077,251,3,31
7,252,Customer service and technical support,3011,110,3,31
13,82,Electronics/appliances/semiconductor/instrumentation,2696,95,3,31
13,100,QMS/safety/environmental protection,361,16,3,31
55,238,Construction/infrastructure/gardening,2726,116,3,31
0,29,Beauty and personal care,818,80,3,31
1,120,Property management,1218,101,3,31
1,80,Hotels/tourism,779,71,3,31
7,241,Logistics/warehousing,1752,156,3,31
17,795,Sales,13253,453,3,31
0,47,Security/housekeeping/other,1017,48,3,31
7,72,Restaurants & recreation,1882,190,3,31
0,66,Transportation service,626,86,3,31
15,157,Production/operation,958,28,3,31
0,236,Technical work,8459,384,3,31
4,4,Science & Technology,23,0,3,31
27,53,Senior management,137,7,3,31
74,139,Engineering/machinery/energy,1253,57,3,31
4,109,,1731,73,4,32
0,4,Advertising,8,1,4,32
4,58,Art/graphics/Animation design,183,10,4,32
0,14,Banking,189,1,4,32
0,2,Beauty and personal care,23,1,4,32
0,14,Biology/chemicals/pharmaceuticals/medical equipment,71,7,4,32
1,3,Communications technology,66,8,4,32
0,4,Computer hardware,12,2,4,32
1,7,Computer software,46,4,4,32
3,26,Counsel/consulting,366,12,4,32
3,62,Customer service and technical support,727,40,4,32
5,17,Electronics/appliances/semiconductor/instrumentation,265,5,4,32
0,2,Fashion/textile/furs,20,0,4,32
4,114,Finance/auditing/tax,282,42,4,32
1,26,Graduates,334,15,4,32
5,55,HR,169,17,4,32
0,3,Hospital/medical/care,113,15,4,32
0,0,Hotels/tourism,239,30,4,32
0,3,IT-Management,3,0,4,32
2,12,"IT-QM, technical support and more",84,4,4,32
2,38,Insurance,320,3,4,32
6,13,Internet development and application,50,3,4,32
7,0,Legal profession/law,14,0,4,32
6,14,Literature/screenwriting/writing,39,2,4,32
3,7,"Movies, TV and recreation",39,3,4,32
1,3,PRs and news media,5,0,4,32
1,17,Procurement,42,4,4,32
0,9,Property management,143,22,4,32
3,16,QMS/safety/environmental protection,55,2,4,32
0,10,Real property,426,14,4,32
12,135,Sales management,1052,77,4,32
3,0,Science & Technology,6,0,4,32
1,28,Securities/finance/investment,148,3,4,32
0,1,Security/housekeeping/other,96,12,4,32
4,3,Senior management,20,2,4,32
3,4,Trade,27,2,4,32
0,25,General merchandise/chains/retail,240,19,4,32
13,108,Office administration/logistics,365,43,4,32
9,74,Construction/infrastructure/gardening,538,36,4,32
1,21,Production/operation,157,5,4,32
0,6,Transportation service,41,7,4,32
0,18,Restaurants & recreation,606,61,4,32
10,55,Other,777,45,4,32
2,138,Sales,3918,180,4,32
0,45,Logistics/warehousing,339,35,4,32
23,105,market/marketing,1401,68,4,32
0,68,Technical work,1550,73,4,32
11,7,Education,105,2,4,32
25,52,Engineering/machinery/energy,558,30,4,32
3,38,Advertising,95,4,5,33
3,112,Art/graphics/Animation design,384,18,5,33
1,13,Banking,201,1,5,33
0,32,Communications technology,1227,5,5,33
0,1,Computer hardware,67,11,5,33
8,8,Computer software,82,12,5,33
15,109,Construction/infrastructure/gardening,767,33,5,33
2,101,Customer service and technical support,1593,38,5,33
63,19,Education,378,0,5,33
35,102,Engineering/machinery/energy,914,40,5,33
5,149,Finance/auditing/tax,464,54,5,33
7,24,Graduates,508,26,5,33
11,83,HR,241,21,5,33
0,5,Hospital/medical/care,44,4,5,33
0,20,IT-Management,41,1,5,33
1,21,"IT-QM, technical support and more",532,19,5,33
4,21,Insurance,241,5,5,33
4,38,Internet development and application,141,9,5,33
10,1,Legal profession/law,30,0,5,33
1,10,Literature/screenwriting/writing,20,0,5,33
0,17,"Movies, TV and recreation",38,1,5,33
0,0,PRs and news media,6,1,5,33
1,32,Procurement,78,6,5,33
0,11,Property management,237,20,5,33
2,41,QMS/safety/environmental protection,208,14,5,33
6,0,Science & Technology,13,0,5,33
8,61,Securities/finance/investment,423,6,5,33
5,2,Senior management,12,4,5,33
13,9,Trade,48,0,5,33
2,0,Translation,23,0,5,33
0,78,General merchandise/chains/retail,720,33,5,33
10,208,Office administration/logistics,928,79,5,33
1,23,Real property,1794,53,5,33
12,297,Sales,5573,281,5,33
2,149,,2374,76,5,33
0,15,Beauty and personal care,259,6,5,33
2,14,Electronics/appliances/semiconductor/instrumentation,141,11,5,33
0,7,Hotels/tourism,262,43,5,33
0,4,Fashion/textile/furs,36,4,5,33
1,41,Production/operation,473,12,5,33
0,10,Transportation service,137,23,5,33
50,156,market/marketing,2508,136,5,33
0,18,Security/housekeeping/other,455,17,5,33
0,20,Restaurants & recreation,859,90,5,33
8,100,Other,1838,66,5,33
0,98,Logistics/warehousing,1530,44,5,33
1,109,Technical work,2202,123,5,33
22,205,Sales management,1739,126,5,33
12,10,Biology/chemicals/pharmaceuticals/medical equipment,102,3,5,33
14,33,Biology/chemicals/pharmaceuticals/medical equipment,239,2,3,31
53,398,Other,4806,262,3,31
6,7,Advertising,44,1,6,22
0,1,Banking,119,1,6,22
0,10,Biology/chemicals/pharmaceuticals/medical equipment,76,1,6,22
4,57,Construction/infrastructure/gardening,263,18,6,22
13,24,Counsel/consulting,558,9,6,22
3,74,Customer service and technical support,899,18,6,22
0,0,Fashion/textile/furs,4,2,6,22
0,17,General merchandise/chains/retail,151,3,6,22
5,25,Graduates,263,8,6,22
0,7,Hotels/tourism,53,15,6,22
3,17,Insurance,154,1,6,22
2,9,Literature/screenwriting/writing,26,1,6,22
29,158,Office administration/logistics,811,65,6,22
6,8,Procurement,31,1,6,22
6,12,Production/operation,128,10,6,22
1,13,Property management,173,21,6,22
0,4,Real property,955,24,6,22
4,11,Securities/finance/investment,118,0,6,22
0,1,Security/housekeeping/other,37,14,6,22
0,15,Trade,156,3,6,22
0,4,Restaurants & recreation,270,43,6,22
3,12,QMS/safety/environmental protection,36,2,6,22
0,9,Beauty and personal care,205,6,6,22
7,52,Other,397,42,6,22
0,12,Transportation service,63,11,6,22
0,30,Technical work,1142,64,6,22
0,163,,1753,38,7,23
1,3,Advertising,22,1,7,23
2,45,Art/graphics/Animation design,190,2,7,23
0,4,Beauty and personal care,50,3,7,23
1,3,Biology/chemicals/pharmaceuticals/medical equipment,29,3,7,23
1,8,Computer hardware,33,0,7,23
2,40,Computer software,275,1,7,23
6,83,Construction/infrastructure/gardening,398,15,7,23
14,41,Counsel/consulting,543,3,7,23
9,15,Electronics/appliances/semiconductor/instrumentation,4210,6,7,23
12,8,Engineering/machinery/energy,60,2,7,23
6,105,Finance/auditing/tax,282,22,7,23
1,41,Graduates,702,9,7,23
6,88,HR,312,16,7,23
0,5,Hospital/medical/care,59,11,7,23
1,1,IT-Management,11,0,7,23
4,42,"IT-QM, technical support and more",376,18,7,23
2,14,Insurance,123,0,7,23
3,25,Internet development and application,198,19,7,23
2,0,Legal profession/law,12,4,7,23
2,2,Literature/screenwriting/writing,6,0,7,23
0,37,Logistics/warehousing,149,14,7,23
6,81,Office administration/logistics,250,26,7,23
0,9,Procurement,18,1,7,23
2,8,Production/operation,18,7,7,23
0,6,Property management,76,18,7,23
1,11,QMS/safety/environmental protection,28,0,7,23
0,18,Real property,978,17,7,23
3,130,Sales,1793,78,7,23
5,93,Sales management,1036,43,7,23
0,24,Securities/finance/investment,181,6,7,23
0,0,Security/housekeeping/other,55,21,7,23
4,1,Senior management,7,0,7,23
2,1,Trade,31,1,7,23
0,30,General merchandise/chains/retail,289,6,7,23
3,45,Other,186,17,7,23
1,60,market/marketing,494,27,7,23
0,34,Hotels/tourism,201,9,7,23
0,45,Customer service and technical support,335,15,7,23
0,5,Transportation service,29,7,7,23
0,15,Technical work,207,26,7,23
0,14,Restaurants & recreation,415,53,7,23
3,2,Education,49,5,7,23
0,178,,2338,120,8,24
0,1,Advertising,13,3,8,24
7,87,Art/graphics/Animation design,427,29,8,24
0,11,Banking,81,0,8,24
1,1,Communications technology,6,0,8,24
2,3,Computer hardware,25,0,8,24
6,32,Computer software,211,7,8,24
14,92,Construction/infrastructure/gardening,1058,7,8,24
2,28,Counsel/consulting,519,3,8,24
4,95,Customer service and technical support,797,18,8,24
