Bachelor's degree,Doctor's degree,Junior college,Junior middle school,MBA,Master's degree,Sector,Senior middle school,Technical secondary school,Total demands,Unlimited,季度,month,s/n,season,total_monthes,year
2,0,13,0,0,0,Advertising,0,0,76,10,1stage,3,36,spring,7,2016
1,0,1,0,0,0,PRs and news media,0,0,39,12,1stage,3,37,spring,7,2016
2,0,18,0,0,0,"Movies, TV and recreation",2,0,342,27,1stage,3,38,spring,7,2016
3,0,23,0,0,0,Literature/screenwriting/writing,3,0,102,24,1stage,3,39,spring,7,2016
8,0,44,20,0,0,Real property,27,17,3176,104,1stage,3,40,spring,7,2016
2,0,16,6,0,0,Property management,3,3,303,32,1stage,3,41,spring,7,2016
0,0,26,3,0,0,Restaurants & recreation,11,4,1381,141,1stage,3,42,spring,7,2016
0,0,7,1,0,0,Hotels/tourism,0,0,141,27,1stage,3,43,spring,7,2016
0,0,5,22,0,0,Beauty and personal care,22,14,1113,17,1stage,3,44,spring,7,2016
5,0,31,6,0,0,General merchandise/chains/retail,15,8,693,36,1stage,3,45,spring,7,2016
0,0,5,4,0,0,Security/housekeeping/other,3,0,270,30,1stage,3,46,spring,7,2016
5,0,123,3,0,0,Graduates,4,6,1605,64,1stage,3,47,spring,7,2016
16,0,145,0,0,0,Other,16,11,1380,167,1stage,3,48,spring,7,2016
0,0,1,0,0,0,,0,0,5,0,2stage,4,1,spring,8,2016
11,0,12,0,0,0,Computer software,0,0,404,30,2stage,4,2,spring,8,2016
19,0,427,3,0,0,Sales management,82,41,5246,230,2stage,4,3,spring,8,2016
9,0,269,1,0,0,market/marketing,64,18,4067,214,2stage,4,4,spring,8,2016
7,0,415,8,0,0,Sales,290,75,13743,363,2stage,4,5,spring,8,2016
0,0,4,0,0,0,Computer hardware,0,0,54,2,2stage,4,6,spring,8,2016
1,0,49,0,0,0,Internet development and application,0,0,302,43,2stage,4,7,spring,8,2016
1,0,7,0,0,0,IT-Management,0,0,30,4,2stage,4,8,spring,8,2016
0,0,26,0,0,0,"IT-QM, technical support and more",0,0,90,1,2stage,4,9,spring,8,2016
0,0,4,0,0,0,Communications technology,6,0,75,2,2stage,4,10,spring,8,2016
13,0,5,0,0,2,Electronics/appliances/semiconductor/instrumentation,3,2,95,5,2stage,4,11,spring,8,2016
17,0,129,0,0,0,Finance/auditing/tax,1,6,347,38,2stage,4,12,spring,8,2016
22,0,16,0,0,0,Engineering/machinery/energy,6,1,232,12,2stage,4,13,spring,8,2016
46,0,194,1,0,0,HR,5,5,845,29,2stage,4,14,spring,8,2016
1,0,2,0,0,0,Senior management,0,0,4,0,2stage,4,15,spring,8,2016
1,0,55,6,0,0,Logistics/warehousing,23,10,429,44,2stage,4,16,spring,8,2016
9,0,87,0,0,0,Art/graphics/Animation design,0,18,438,31,2stage,4,17,spring,8,2016
4,0,0,0,0,2,Science & Technology,0,0,37,0,2stage,4,18,spring,8,2016
2,0,0,0,0,0,Legal profession/law,0,0,10,8,2stage,4,19,spring,8,2016
41,0,48,0,0,4,Education,2,0,619,11,2stage,4,20,spring,8,2016
0,0,16,0,0,0,Hospital/medical/care,2,4,124,2,2stage,4,21,spring,8,2016
10,0,97,0,0,0,Counsel/consulting,5,1,1058,24,2stage,4,22,spring,8,2016
0,0,0,25,0,0,Transportation service,7,0,326,25,2stage,4,23,spring,8,2016
0,0,2,0,0,0,Translation,0,0,2,0,2stage,4,24,spring,8,2016
3,0,54,0,0,0,Construction/infrastructure/gardening,4,3,413,20,2stage,4,25,spring,8,2016
0,0,10,0,0,0,Banking,0,0,10,0,2stage,4,26,spring,8,2016
39,0,300,0,0,0,Office administration/logistics,22,28,1443,143,2stage,4,27,spring,8,2016
4,0,155,1,0,0,Customer service and technical support,13,21,1525,43,2stage,4,28,spring,8,2016
7,0,27,0,0,0,Securities/finance/investment,3,12,1074,33,2stage,4,29,spring,8,2016
5,0,16,0,0,0,Insurance,2,0,568,19,2stage,4,30,spring,8,2016
2,0,15,4,0,0,Production/operation,1,2,141,12,2stage,4,31,spring,8,2016
5,0,29,0,0,0,QMS/safety/environmental protection,7,1,110,5,2stage,4,32,spring,8,2016
0,0,10,44,0,0,Technical work,18,5,3326,70,2stage,4,33,spring,8,2016
1,0,21,0,0,0,Procurement,0,2,53,8,2stage,4,34,spring,8,2016
5,0,5,0,0,0,Trade,0,0,44,2,2stage,4,35,spring,8,2016
4,0,22,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,0,0,117,23,2stage,4,36,spring,8,2016
2,0,5,0,0,0,Advertising,0,0,23,7,2stage,4,37,spring,8,2016
1,0,9,0,0,0,PRs and news media,0,0,99,2,2stage,4,38,spring,8,2016
0,0,0,0,0,0,"Movies, TV and recreation",0,0,2,2,2stage,4,39,spring,8,2016
2,0,1,0,0,0,Literature/screenwriting/writing,0,0,22,4,2stage,4,40,spring,8,2016
0,0,6,0,0,0,Real property,0,6,631,43,2stage,4,41,spring,8,2016
0,0,6,1,0,0,Property management,0,2,222,20,2stage,4,42,spring,8,2016
0,0,15,0,0,0,Restaurants & recreation,0,0,863,65,2stage,4,43,spring,8,2016
0,0,2,0,0,0,Hotels/tourism,0,0,150,13,2stage,4,44,spring,8,2016
0,0,5,0,0,0,Beauty and personal care,4,0,132,20,2stage,4,45,spring,8,2016
2,0,11,0,0,0,General merchandise/chains/retail,6,7,462,20,2stage,4,46,spring,8,2016
0,0,1,0,0,0,Security/housekeeping/other,2,0,67,11,2stage,4,47,spring,8,2016
4,0,61,0,0,0,Graduates,0,0,691,22,2stage,4,48,spring,8,2016
9,0,96,2,0,0,Other,17,2,705,81,2stage,4,49,spring,8,2016
1,0,0,0,0,0,,0,0,3,0,2stage,5,1,spring,9,2016
14,0,2,0,0,0,Computer software,0,0,318,26,2stage,5,2,spring,9,2016
13,0,314,3,0,0,Sales management,62,9,3694,185,2stage,5,3,spring,9,2016
10,0,205,1,0,0,market/marketing,48,7,3296,181,2stage,5,4,spring,9,2016
20,0,389,7,0,0,Sales,204,52,10040,322,2stage,5,5,spring,9,2016
0,0,3,0,0,0,Computer hardware,0,0,19,3,2stage,5,6,spring,9,2016
2,0,24,0,0,0,Internet development and application,0,0,209,43,2stage,5,7,spring,9,2016
0,0,6,0,0,0,IT-Management,0,0,16,0,2stage,5,8,spring,9,2016
3,0,17,0,0,0,"IT-QM, technical support and more",0,0,44,0,2stage,5,9,spring,9,2016
0,0,0,0,0,0,Communications technology,8,0,40,0,2stage,5,10,spring,9,2016
15,0,23,0,0,2,Electronics/appliances/semiconductor/instrumentation,2,0,105,5,2stage,5,11,spring,9,2016
17,0,137,0,0,0,Finance/auditing/tax,3,5,333,31,2stage,5,12,spring,9,2016
25,0,32,4,0,0,Engineering/machinery/energy,2,7,296,16,2stage,5,13,spring,9,2016
17,0,117,1,0,0,HR,3,0,479,39,2stage,5,14,spring,9,2016
0,0,6,0,0,0,Senior management,0,0,15,7,2stage,5,15,spring,9,2016
1,0,19,2,0,0,Logistics/warehousing,24,12,303,30,2stage,5,16,spring,9,2016
3,0,55,0,0,0,Art/graphics/Animation design,1,12,349,42,2stage,5,17,spring,9,2016
5,0,2,0,0,0,Science & Technology,0,0,46,0,2stage,5,18,spring,9,2016
2,0,5,0,0,0,Legal profession/law,0,0,34,10,2stage,5,19,spring,9,2016
40,0,21,0,0,3,Education,0,0,368,6,2stage,5,20,spring,9,2016
3,0,12,0,0,0,Hospital/medical/care,1,0,143,6,2stage,5,21,spring,9,2016
1,0,64,2,0,0,Counsel/consulting,2,0,749,20,2stage,5,22,spring,9,2016
0,0,2,29,0,0,Transportation service,4,0,434,42,2stage,5,23,spring,9,2016
0,0,0,0,0,0,Translation,0,0,11,7,2stage,5,24,spring,9,2016
3,0,31,1,0,0,Construction/infrastructure/gardening,3,7,315,17,2stage,5,25,spring,9,2016
27,0,240,2,0,0,Office administration/logistics,24,16,1236,138,2stage,5,26,spring,9,2016
1,0,94,1,0,0,Customer service and technical support,18,7,1230,56,2stage,5,27,spring,9,2016
1,0,18,0,0,0,Securities/finance/investment,0,6,731,28,2stage,5,28,spring,9,2016
0,0,3,0,0,0,Insurance,0,0,267,13,2stage,5,29,spring,9,2016
2,0,13,1,0,0,Production/operation,4,6,89,9,2stage,5,30,spring,9,2016
3,0,7,0,0,0,QMS/safety/environmental protection,1,0,45,10,2stage,5,31,spring,9,2016
0,0,17,40,0,0,Technical work,36,5,827,77,2stage,5,32,spring,9,2016
0,0,15,0,0,0,Procurement,0,1,38,10,2stage,5,33,spring,9,2016
1,0,4,0,0,0,Trade,0,0,27,3,2stage,5,34,spring,9,2016
0,0,16,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,4,0,334,10,2stage,5,35,spring,9,2016
0,0,2,0,0,0,Advertising,0,1,16,0,2stage,5,36,spring,9,2016
1,0,2,0,0,0,PRs and news media,0,0,11,2,2stage,5,37,spring,9,2016
2,0,0,0,0,0,"Movies, TV and recreation",2,0,8,2,2stage,5,38,spring,9,2016
1,0,6,0,0,0,Literature/screenwriting/writing,0,0,40,3,2stage,5,39,spring,9,2016
0,0,9,0,0,0,Real property,6,0,429,18,2stage,5,40,spring,9,2016
0,0,12,0,0,0,Property management,0,36,326,15,2stage,5,41,spring,9,2016
0,0,16,0,0,0,Restaurants & recreation,1,0,2978,134,2stage,5,42,spring,9,2016
0,0,7,0,0,0,Hotels/tourism,0,0,39,6,2stage,5,43,spring,9,2016
0,0,3,2,0,0,Beauty and personal care,2,2,179,12,2stage,5,44,spring,9,2016
0,0,11,0,0,0,General merchandise/chains/retail,3,0,233,21,2stage,5,45,spring,9,2016
0,0,1,0,0,0,Security/housekeeping/other,0,3,102,16,2stage,5,46,spring,9,2016
15,0,29,0,0,0,Graduates,0,3,600,15,2stage,5,47,spring,9,2016
11,0,68,2,0,0,Other,13,6,789,69,2stage,5,48,spring,9,2016
1,0,12,0,0,0,,5,1,114,0,2stage,6,1,summer,10,2016
3,0,0,0,0,0,Computer software,0,0,250,27,2stage,6,2,summer,10,2016
29,0,209,0,0,0,Sales management,62,10,2416,124,2stage,6,3,summer,10,2016
29,0,124,2,0,0,market/marketing,41,12,2024,76,2stage,6,4,summer,10,2016
6,0,286,7,0,0,Sales,161,31,6907,221,2stage,6,5,summer,10,2016
0,0,8,0,0,0,Computer hardware,2,0,37,2,2stage,6,6,summer,10,2016
1,0,44,0,0,0,Internet development and application,0,8,311,39,2stage,6,7,summer,10,2016
0,0,2,0,0,0,IT-Management,0,0,6,0,2stage,6,8,summer,10,2016
4,0,7,0,0,0,"IT-QM, technical support and more",0,1,31,0,2stage,6,9,summer,10,2016
0,0,2,0,0,0,Communications technology,6,0,68,1,2stage,6,10,summer,10,2016
5,0,16,0,0,0,Electronics/appliances/semiconductor/instrumentation,0,12,113,5,2stage,6,11,summer,10,2016
12,0,98,0,0,0,Finance/auditing/tax,2,7,251,11,2stage,6,12,summer,10,2016
18,0,27,0,0,0,Engineering/machinery/energy,1,0,141,9,2stage,6,13,summer,10,2016
8,0,97,0,0,0,HR,2,3,279,19,2stage,6,14,summer,10,2016
4,0,0,0,0,0,Senior management,0,0,56,10,2stage,6,15,summer,10,2016
0,0,17,2,0,0,Logistics/warehousing,25,16,185,19,2stage,6,16,summer,10,2016
7,0,42,0,0,0,Art/graphics/Animation design,0,14,348,23,2stage,6,17,summer,10,2016
0,0,2,0,0,0,Science & Technology,0,0,7,0,2stage,6,18,summer,10,2016
0,0,0,0,0,0,Legal profession/law,0,0,6,5,2stage,6,19,summer,10,2016
11,0,13,0,0,1,Education,0,0,117,1,2stage,6,20,summer,10,2016
10,0,31,0,0,0,Hospital/medical/care,1,2,389,16,2stage,6,21,summer,10,2016
1,0,12,0,0,0,Counsel/consulting,7,0,304,12,2stage,6,22,summer,10,2016
0,0,0,8,0,0,Transportation service,8,2,111,21,2stage,6,23,summer,10,2016
3,0,28,4,0,0,Construction/infrastructure/gardening,0,8,282,23,2stage,6,24,summer,10,2016
24,0,174,2,0,0,Office administration/logistics,24,24,940,92,2stage,6,25,summer,10,2016
4,0,84,0,0,0,Customer service and technical support,26,7,1369,41,2stage,6,26,summer,10,2016
2,0,20,0,0,0,Securities/finance/investment,6,9,477,7,2stage,6,27,summer,10,2016
0,0,6,0,0,0,Insurance,2,0,110,0,2stage,6,28,summer,10,2016
3,0,18,0,0,0,Production/operation,4,4,174,8,2stage,6,29,summer,10,2016
10,0,19,0,0,0,QMS/safety/environmental protection,0,6,132,6,2stage,6,30,summer,10,2016
4,0,14,9,0,0,Technical work,4,11,580,72,2stage,6,31,summer,10,2016
0,0,0,0,0,0,Fashion/textile/furs,0,1,1,0,2stage,6,32,summer,10,2016
0,0,16,0,0,0,Procurement,0,2,51,7,2stage,6,33,summer,10,2016
2,0,0,0,0,0,Trade,0,0,9,2,2stage,6,34,summer,10,2016
0,0,11,1,0,0,Biology/chemicals/pharmaceuticals/medical equipment,2,1,59,2,2stage,6,35,summer,10,2016
0,0,7,0,0,0,Advertising,0,0,34,5,2stage,6,36,summer,10,2016
0,0,2,0,0,0,PRs and news media,0,0,4,0,2stage,6,37,summer,10,2016
0,0,0,0,0,0,"Movies, TV and recreation",0,0,4,2,2stage,6,38,summer,10,2016
0,0,13,0,0,0,Literature/screenwriting/writing,0,0,21,1,2stage,6,39,summer,10,2016
0,0,1,0,0,0,Real property,5,4,1606,56,2stage,6,40,summer,10,2016
0,0,5,0,0,0,Property management,0,0,92,11,2stage,6,41,summer,10,2016
0,0,10,0,0,0,Restaurants & recreation,0,3,495,67,2stage,6,42,summer,10,2016
0,0,2,0,0,0,Hotels/tourism,0,0,16,6,2stage,6,43,summer,10,2016
0,0,5,0,0,0,Beauty and personal care,0,1,78,2,2stage,6,44,summer,10,2016
0,0,15,1,0,0,General merchandise/chains/retail,8,11,291,17,2stage,6,45,summer,10,2016
0,0,0,2,0,0,Security/housekeeping/other,0,0,30,13,2stage,6,46,summer,10,2016
10,0,17,0,0,0,Graduates,2,6,490,9,2stage,6,47,summer,10,2016
8,0,39,4,0,0,Other,16,5,638,33,2stage,6,48,summer,10,2016
3,0,69,0,0,0,,15,1,699,12,3stage,7,1,summer,11,2016
7,0,20,0,0,0,Computer software,0,0,491,34,3stage,7,2,summer,11,2016
18,0,178,0,0,0,Sales management,41,11,2045,133,3stage,7,3,summer,11,2016
13,0,106,0,0,0,market/marketing,44,14,2013,71,3stage,7,4,summer,11,2016
8,0,296,4,0,0,Sales,145,23,7826,311,3stage,7,5,summer,11,2016
2,0,19,0,0,0,Computer hardware,0,0,100,1,3stage,7,6,summer,11,2016
3,0,36,0,0,0,Internet development and application,2,4,488,41,3stage,7,7,summer,11,2016
0,0,7,0,0,0,IT-Management,0,0,69,1,3stage,7,8,summer,11,2016
2,0,11,0,0,0,"IT-QM, technical support and more",0,1,51,1,3stage,7,9,summer,11,2016
2,0,1,0,0,0,Communications technology,12,0,67,0,3stage,7,10,summer,11,2016
9,0,12,0,0,0,Electronics/appliances/semiconductor/instrumentation,0,3,98,3,3stage,7,11,summer,11,2016
17,0,106,0,0,0,Finance/auditing/tax,4,3,320,36,3stage,7,12,summer,11,2016
6,0,41,0,0,0,Engineering/machinery/energy,5,2,289,5,3stage,7,13,summer,11,2016
12,0,139,0,0,0,HR,6,2,451,20,3stage,7,14,summer,11,2016
2,0,6,0,0,0,Senior management,0,0,19,5,3stage,7,15,summer,11,2016
0,0,21,3,0,0,Logistics/warehousing,22,8,258,19,3stage,7,16,summer,11,2016
1,0,33,0,0,0,Art/graphics/Animation design,0,19,312,29,3stage,7,17,summer,11,2016
0,0,1,0,0,0,Legal profession/law,0,0,26,10,3stage,7,18,summer,11,2016
12,0,17,0,0,0,Education,0,0,308,1,3stage,7,19,summer,11,2016
2,0,12,0,0,0,Hospital/medical/care,0,3,164,1,3stage,7,20,summer,11,2016
6,0,15,0,0,0,Counsel/consulting,15,0,494,5,3stage,7,21,summer,11,2016
0,0,0,6,0,0,Transportation service,7,0,109,6,3stage,7,22,summer,11,2016
2,0,0,0,0,0,Translation,0,0,2,0,3stage,7,23,summer,11,2016
12,0,39,0,0,0,Construction/infrastructure/gardening,0,5,316,15,3stage,7,24,summer,11,2016
0,0,0,0,0,0,Banking,2,2,50,0,3stage,7,25,summer,11,2016
20,0,128,0,0,0,Office administration/logistics,17,32,915,122,3stage,7,26,summer,11,2016
7,0,69,0,0,0,Customer service and technical support,33,6,1124,35,3stage,7,27,summer,11,2016
0,0,10,0,0,0,Securities/finance/investment,0,6,394,6,3stage,7,28,summer,11,2016
11,0,44,0,0,0,Insurance,6,0,864,10,3stage,7,29,summer,11,2016
2,0,14,0,0,0,Production/operation,3,4,105,6,3stage,7,30,summer,11,2016
14,0,12,2,0,0,QMS/safety/environmental protection,1,3,125,2,3stage,7,31,summer,11,2016
4,0,8,5,0,0,Technical work,9,4,799,84,3stage,7,32,summer,11,2016
0,0,0,0,0,0,Fashion/textile/furs,0,1,4,3,3stage,7,33,summer,11,2016
2,0,10,0,0,0,Procurement,5,0,67,3,3stage,7,34,summer,11,2016
4,0,12,0,0,0,Trade,1,0,167,2,3stage,7,35,summer,11,2016
6,0,12,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,1,1,102,2,3stage,7,36,summer,11,2016
0,0,7,0,0,0,Advertising,0,0,32,4,3stage,7,37,summer,11,2016
0,0,3,0,0,0,PRs and news media,0,0,6,0,3stage,7,38,summer,11,2016
2,0,4,0,0,0,"Movies, TV and recreation",0,0,38,6,3stage,7,39,summer,11,2016
2,0,4,0,0,0,Literature/screenwriting/writing,0,0,10,0,3stage,7,40,summer,11,2016
0,0,24,0,0,0,Real property,6,8,563,20,3stage,7,41,summer,11,2016
0,0,8,0,0,0,Property management,0,0,374,36,3stage,7,42,summer,11,2016
0,0,16,0,0,0,Restaurants & recreation,2,0,324,42,3stage,7,43,summer,11,2016
0,0,3,0,0,0,Hotels/tourism,3,0,18,3,3stage,7,44,summer,11,2016
0,0,0,0,0,0,Beauty and personal care,3,0,64,11,3stage,7,45,summer,11,2016
0,0,13,2,0,0,General merchandise/chains/retail,6,2,415,17,3stage,7,46,summer,11,2016
0,0,0,0,0,0,Security/housekeeping/other,0,0,61,9,3stage,7,47,summer,11,2016
8,0,23,0,0,0,Graduates,7,1,408,9,3stage,7,48,summer,11,2016
13,0,97,5,0,0,Other,8,3,785,48,3stage,7,49,summer,11,2016
5,0,102,0,0,0,,37,3,1904,59,3stage,8,1,summer,12,2016
8,0,29,0,0,0,Computer software,0,0,286,1,3stage,8,2,summer,12,2016
9,0,124,2,0,0,Sales management,23,12,1400,120,3stage,8,3,summer,12,2016
8,0,102,2,0,0,market/marketing,48,21,1676,67,3stage,8,4,summer,12,2016
7,0,233,2,0,0,Sales,131,40,5827,223,3stage,8,5,summer,12,2016
2,0,3,0,0,0,Computer hardware,0,0,22,0,3stage,8,6,summer,12,2016
3,0,44,0,0,0,Internet development and application,0,1,499,28,3stage,8,7,summer,12,2016
0,0,4,0,0,0,IT-Management,0,0,13,2,3stage,8,8,summer,12,2016
0,0,15,0,0,0,"IT-QM, technical support and more",0,0,62,4,3stage,8,9,summer,12,2016
0,0,8,2,0,0,Communications technology,10,0,103,6,3stage,8,10,summer,12,2016
6,0,14,0,0,0,Electronics/appliances/semiconductor/instrumentation,0,1,62,0,3stage,8,11,summer,12,2016
9,0,126,3,0,0,Finance/auditing/tax,1,8,326,29,3stage,8,12,summer,12,2016
4,0,31,1,0,0,Engineering/machinery/energy,4,2,464,4,3stage,8,13,summer,12,2016
17,0,111,0,0,0,HR,8,1,336,13,3stage,8,14,summer,12,2016
9,0,9,0,0,0,Senior management,0,2,51,2,3stage,8,15,summer,12,2016
2,0,25,4,0,0,Logistics/warehousing,23,4,480,38,3stage,8,16,summer,12,2016
0,0,25,0,0,0,Art/graphics/Animation design,0,14,209,24,3stage,8,17,summer,12,2016
0,0,1,0,0,0,Science & Technology,0,0,1,0,3stage,8,18,summer,12,2016
42,0,27,0,0,0,Education,0,4,397,2,3stage,8,19,summer,12,2016
0,0,18,0,0,0,Hospital/medical/care,0,0,86,2,3stage,8,20,summer,12,2016
1,0,28,0,0,0,Counsel/consulting,11,1,598,9,3stage,8,21,summer,12,2016
0,0,0,8,0,0,Transportation service,15,0,171,26,3stage,8,22,summer,12,2016
37,0,48,0,0,0,Construction/infrastructure/gardening,0,5,435,13,3stage,8,23,summer,12,2016
0,0,1,0,0,0,Banking,0,1,30,0,3stage,8,24,summer,12,2016
13,0,168,2,0,0,Office administration/logistics,22,38,928,104,3stage,8,25,summer,12,2016
0,0,56,0,0,0,Customer service and technical support,36,10,981,27,3stage,8,26,summer,12,2016
5,0,14,0,0,0,Securities/finance/investment,0,4,432,12,3stage,8,27,summer,12,2016
8,0,56,0,0,0,Insurance,0,0,416,4,3stage,8,28,summer,12,2016
1,0,27,2,0,0,Production/operation,9,16,331,6,3stage,8,29,summer,12,2016
2,0,16,3,0,0,QMS/safety/environmental protection,0,3,429,3,3stage,8,30,summer,12,2016
0,0,16,13,0,0,Technical work,9,5,1384,95,3stage,8,31,summer,12,2016
2,0,8,1,0,0,Procurement,4,1,36,0,3stage,8,32,summer,12,2016
2,0,8,0,0,0,Trade,0,0,134,0,3stage,8,33,summer,12,2016
6,0,1,0,0,2,Biology/chemicals/pharmaceuticals/medical equipment,0,0,50,1,3stage,8,34,summer,12,2016
0,0,8,0,0,0,Advertising,0,3,66,13,3stage,8,35,summer,12,2016
0,0,2,0,0,0,PRs and news media,0,0,4,0,3stage,8,36,summer,12,2016
0,0,2,0,0,0,"Movies, TV and recreation",0,0,6,2,3stage,8,37,summer,12,2016
1,0,3,0,0,0,Literature/screenwriting/writing,0,0,10,2,3stage,8,38,summer,12,2016
4,0,37,0,0,0,Real property,8,1,1168,48,3stage,8,39,summer,12,2016
0,0,62,4,0,0,Property management,9,8,416,13,3stage,8,40,summer,12,2016
0,0,21,13,0,0,Restaurants & recreation,3,1,1150,157,3stage,8,41,summer,12,2016
0,0,1,0,0,0,Hotels/tourism,0,0,2,0,3stage,8,42,summer,12,2016
0,0,4,2,0,0,Beauty and personal care,3,4,229,9,3stage,8,43,summer,12,2016
0,0,12,7,0,0,General merchandise/chains/retail,10,5,511,33,3stage,8,44,summer,12,2016
0,0,0,0,0,0,Security/housekeeping/other,2,0,140,32,3stage,8,45,summer,12,2016
7,0,38,0,0,0,Graduates,2,1,395,12,3stage,8,46,summer,12,2016
14,0,71,0,0,0,Other,18,9,1194,68,3stage,8,47,summer,12,2016
5,0,99,0,0,0,,13,3,1331,41,3stage,9,1,autumn,13,2016
10,0,5,0,0,0,Computer software,0,0,79,2,3stage,9,2,autumn,13,2016
16,0,161,2,0,0,Sales management,25,12,1601,94,3stage,9,3,autumn,13,2016
13,0,117,2,0,0,market/marketing,26,15,1857,53,3stage,9,4,autumn,13,2016
6,0,223,11,0,0,Sales,103,36,5413,201,3stage,9,5,autumn,13,2016
0,0,2,0,0,0,Computer hardware,0,0,15,1,3stage,9,6,autumn,13,2016
15,0,37,0,0,0,Internet development and application,2,0,290,28,3stage,9,7,autumn,13,2016
1,0,4,0,0,0,IT-Management,0,0,10,0,3stage,9,8,autumn,13,2016
2,0,27,0,0,0,"IT-QM, technical support and more",0,0,86,0,3stage,9,9,autumn,13,2016
2,0,1,0,0,0,Communications technology,0,0,9,0,3stage,9,10,autumn,13,2016
11,0,19,0,0,0,Electronics/appliances/semiconductor/instrumentation,0,2,139,4,3stage,9,11,autumn,13,2016
20,0,77,0,0,0,Finance/auditing/tax,10,4,287,26,3stage,9,12,autumn,13,2016
12,0,37,0,0,0,Engineering/machinery/energy,3,2,454,7,3stage,9,13,autumn,13,2016
16,0,103,0,0,0,HR,7,3,316,20,3stage,9,14,autumn,13,2016
4,0,2,0,0,0,Senior management,0,0,7,0,3stage,9,15,autumn,13,2016
6,0,41,8,0,0,Logistics/warehousing,8,5,334,30,3stage,9,16,autumn,13,2016
5,0,32,0,0,0,Art/graphics/Animation design,3,11,242,19,3stage,9,17,autumn,13,2016
1,0,0,0,0,0,Science & Technology,0,0,3,0,3stage,9,18,autumn,13,2016
4,0,1,0,0,0,Legal profession/law,0,0,16,6,3stage,9,19,autumn,13,2016
25,0,28,0,0,0,Education,0,2,395,0,3stage,9,20,autumn,13,2016
3,0,30,0,0,0,Hospital/medical/care,2,1,317,3,3stage,9,21,autumn,13,2016
2,0,28,0,0,0,Counsel/consulting,13,1,661,10,3stage,9,22,autumn,13,2016
0,0,4,3,0,0,Transportation service,6,0,104,30,3stage,9,23,autumn,13,2016
0,0,1,0,0,0,Translation,0,0,5,0,3stage,9,24,autumn,13,2016
6,0,44,1,0,0,Construction/infrastructure/gardening,8,3,310,19,3stage,9,25,autumn,13,2016
23,0,160,0,0,0,Office administration/logistics,14,16,604,59,3stage,9,26,autumn,13,2016
2,0,71,0,0,0,Customer service and technical support,32,25,1053,23,3stage,9,27,autumn,13,2016
5,0,18,0,0,0,Securities/finance/investment,1,2,383,7,3stage,9,28,autumn,13,2016
3,0,28,0,0,0,Insurance,11,0,522,1,3stage,9,29,autumn,13,2016
3,0,27,0,0,0,Production/operation,4,10,417,6,3stage,9,30,autumn,13,2016
3,0,13,4,0,0,QMS/safety/environmental protection,0,0,169,2,3stage,9,31,autumn,13,2016
0,0,11,21,0,0,Technical work,5,14,1731,83,3stage,9,32,autumn,13,2016
0,0,0,1,0,0,Fashion/textile/furs,0,0,5,0,3stage,9,33,autumn,13,2016
8,0,12,0,0,0,Procurement,0,0,65,4,3stage,9,34,autumn,13,2016
9,0,10,0,0,1,Trade,0,0,167,0,3stage,9,35,autumn,13,2016
0,0,11,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,0,1,80,6,3stage,9,36,autumn,13,2016
7,0,3,0,0,0,Advertising,0,2,41,5,3stage,9,37,autumn,13,2016
2,0,4,0,0,0,PRs and news media,0,0,18,4,3stage,9,38,autumn,13,2016
2,0,9,0,0,0,"Movies, TV and recreation",0,1,53,4,3stage,9,39,autumn,13,2016
2,0,9,0,0,0,Literature/screenwriting/writing,0,0,57,1,3stage,9,40,autumn,13,2016
4,0,23,0,0,0,Real property,6,0,878,22,3stage,9,41,autumn,13,2016
0,0,1,3,0,0,Property management,8,8,222,16,3stage,9,42,autumn,13,2016
0,0,28,4,0,0,Restaurants & recreation,6,3,1057,130,3stage,9,43,autumn,13,2016
0,0,1,4,0,0,Hotels/tourism,0,2,95,17,3stage,9,44,autumn,13,2016
0,0,4,2,0,0,Beauty and personal care,4,1,362,11,3stage,9,45,autumn,13,2016
0,0,20,0,0,0,General merchandise/chains/retail,8,12,491,25,3stage,9,46,autumn,13,2016
0,0,1,0,0,0,Security/housekeeping/other,3,0,116,28,3stage,9,47,autumn,13,2016
10,0,48,0,0,0,Graduates,0,3,701,7,3stage,9,48,autumn,13,2016
3,0,66,0,0,2,Other,6,0,510,46,3stage,9,49,autumn,13,2016
0,0,62,0,0,0,,19,4,1358,57,4stage,10,1,autumn,14,2016
12,2,14,0,0,2,Computer software,0,0,150,10,4stage,10,2,autumn,14,2016
12,0,171,6,0,0,Sales management,20,3,5129,95,4stage,10,3,autumn,14,2016
14,0,75,6,0,0,market/marketing,25,15,3597,52,4stage,10,4,autumn,14,2016
12,0,139,4,0,0,Sales,71,17,5829,175,4stage,10,5,autumn,14,2016
1,0,7,0,0,0,Computer hardware,0,0,29,0,4stage,10,6,autumn,14,2016
8,0,29,0,0,0,Internet development and application,0,1,403,29,4stage,10,7,autumn,14,2016
2,0,5,0,0,0,IT-Management,0,0,23,1,4stage,10,8,autumn,14,2016
3,0,7,0,0,0,"IT-QM, technical support and more",0,0,38,0,4stage,10,9,autumn,14,2016
1,0,0,0,0,0,Communications technology,0,2,41,0,4stage,10,10,autumn,14,2016
